date,close,volume,open,high,low
2/24/2017,94.56,921789,93.4,94.57,93.11
2/23/2017,93.75,923530,93.78,93.9,93.26
2/22/2017,93.62,780852,93.97,94.02,93.26
2/21/2017,94.29,1531220,93.19,94.46,93.06
2/17/2017,93.46,839819,93.39,93.47,92.75
2/16/2017,93.52,1335879,93,93.55,92.35
2/15/2017,92.82,1054686,92.79,92.99,92.14
2/14/2017,92.61,1509997,92,93.04,91.88
2/13/2017,91.95,1603356,91.4,92,91.23
2/10/2017,91.17,911457,90.58,91.18,90.07
2/9/2017,90.52,767303,90.4,90.96,89.9
2/8/2017,90.51,835292,90.69,91.69,90.4
2/7/2017,90.74,1206869,90.69,90.77,89.83
2/6/2017,90.47,746267,91,91.24,90.31
2/3/2017,91.02,1112450,90.61,91.29,90.54
2/2/2017,90.52,620555,89.87,90.73,89.85
2/1/2017,90.2,621839,90.98,91.25,89.89
1/31/2017,90.76,877582,90.68,90.78,89.9
1/30/2017,90.85,860787,91.01,91.01,89.81
1/27/2017,90.91,995555,91.32,91.63,90.63
1/26/2017,91.26,1022267,90.69,91.28,90.535
1/25/2017,90.81,1379559,91.04,91.26,90.38
1/24/2017,90.87,1253068,90.72,91.13,90.51
1/23/2017,90.71,1433013,91.63,91.7,90.32
1/20/2017,91.4,3515795,89.44,91.585,89.44
1/19/2017,89.21,2669870,89.73,90.54,88.8
1/18/2017,89.6,1503790,89.72,89.94,89.23
1/17/2017,89.71,1335632,89.69,89.854,88.84
1/13/2017,89.93,1720097,90.56,90.98,89.85
1/12/2017,90.4,1584751,90.45,90.7,89.51
1/11/2017,90.54,1513584,91.17,91.34,90.39
1/10/2017,91,1147386,92,92.31,90.99
1/9/2017,91.78,935966,92.44,93.02,91.51
1/6/2017,93.03,713517,92.91,93.07,92.64
1/5/2017,92.72,1012049,91.9,93.8,91.9
1/4/2017,93.3,1221330,93.35,93.73,92.8457
1/3/2017,93.09,857174,93.57,94,92.7
12/30/2016,92.76,845376,93.74,93.74,92.26
12/29/2016,93.45,571822,93.5,94.06,93.29
12/28/2016,93.49,815234,94.48,94.48,93.38
12/27/2016,94.44,402798,94.4,94.68,93.89
12/23/2016,93.97,287254,93.84,94.19,93.64
12/22/2016,93.95,584717,93.79,94.08,93.53
12/21/2016,93.93,807227,94.42,94.7,93.8
12/20/2016,94.69,870424,93.97,94.7,93.61
12/19/2016,93.99,791589,93.25,94.15,93.25
12/16/2016,93.21,1334457,93.77,94.49,93.13
12/15/2016,93.36,1053585,93.31,94.03,92.72
12/14/2016,93.1,1099789,94.41,94.71,92.95
12/13/2016,94.43,1069224,94.63,95.08,93.85
12/12/2016,94.15,1343156,93.89,94.52,93.06
12/9/2016,94.37,877532,94.57,94.64,94.21
12/8/2016,94.68,843227,95.4,95.64,94.43
12/7/2016,95.23,822095,94.49,95.31,94.24
12/6/2016,94.48,999018,94.44,94.56,94.07
12/5/2016,94.65,1295032,95.4,95.6,94.28
12/2/2016,95.17,1895317,95.83,96.27,94.74
12/1/2016,96.07,4211023,95.05,96.55,94.7
11/30/2016,92.72,1287151,92.39,93.18,92.29
11/29/2016,92.34,1031357,92.47,93,92.15
11/28/2016,92.62,2324288,92.53,92.8999,91.64
11/25/2016,92.96,1047037,91,92.96,90.76
11/23/2016,90.9,2578196,89.01,90.92,88.82
11/22/2016,88.86,1548954,88.62,89,88.13
11/21/2016,88.24,1324967,88.05,88.64,87.62
11/18/2016,87.79,2152783,88.21,88.48,87.48
11/17/2016,88.43,2017106,87.55,88.68,87.17
11/16/2016,87.54,1199910,88.2,88.41,87.47
11/15/2016,88.33,1568451,88.51,88.51,87.05
11/14/2016,88.71,2407707,88.8,89.43,88.22
11/11/2016,88.54,2205160,85.23,88.68,85.106
11/10/2016,85.43,2001635,84.91,85.66,83.925
11/9/2016,84.41,1516885,82.06,85.45,82.06
11/8/2016,83.05,1175625,82.75,83.36,82.22
11/7/2016,82.75,1356754,83.41,83.52,82.23
11/4/2016,82.16,1335307,82.24,83.5,81.97
11/3/2016,82.08,1989915,82.1,82.54,81.1101
11/2/2016,81.65,1065479,82.6,83.145,81.61
11/1/2016,82.49,2305177,84.62,84.85,82.39
10/31/2016,84.32,2069562,83.46,84.5925,82.755
10/28/2016,83.45,1857550,82.22,83.8,82.13
10/27/2016,82.15,1667671,82.06,82.76,81.4
10/26/2016,81.4,3097401,80.13,81.97,80.1
10/25/2016,80,3571320,79.34,80.43,79.21
10/24/2016,79.21,9643904,81.94,82.1,78.54
10/21/2016,84.46,590065,82.56,84.77,82.56
10/20/2016,83.63,698045,83.85,84.09,83.16
10/19/2016,83.96,408457,84.06,84.53,83.92
